2018-05-05 21:06:27.598 JST [132317] LOG:  received fast shutdown request
2018-05-05 21:06:27.611 JST [132317] LOG:  aborting any active transactions
2018-05-05 21:06:27.612 JST [132317] LOG:  background worker "logical replication launcher" (PID 132327) exited with exit code 1
2018-05-05 21:06:27.612 JST [132322] LOG:  shutting down
2018-05-05 21:06:27.675 JST [132322] LOG:  checkpoint starting: shutdown immediate
2018-05-05 21:06:27.852 JST [132322] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.106 s, sync=0.000 s, total=0.239 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-05 21:06:28.115 JST [132317] LOG:  database system is shut down
2018-05-05 21:06:29.451 JST [132373] LOG:  database system was shut down at 2018-05-05 21:06:27 JST
2018-05-05 21:06:29.453 JST [132370] LOG:  database system is ready to accept connections
2018-05-05 21:06:39.508 JST [132459] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:06:39.599 JST [132459] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.07 s
2018-05-05 21:06:39.652 JST [132459] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:06:49.531 JST [132499] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:06:49.787 JST [132499] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.08 s
2018-05-05 21:06:50.001 JST [132499] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:06:59.542 JST [132550] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:06:59.596 JST [132550] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:07:04.556 JST [132571] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:04.672 JST [132571] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.10 s
2018-05-05 21:07:09.543 JST [132592] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:09.599 JST [132592] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:07:14.672 JST [132610] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.10 s, system: 0.01 s, elapsed: 0.11 s
2018-05-05 21:07:19.566 JST [132631] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:19.626 JST [132631] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:07:24.571 JST [132652] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:24.720 JST [132652] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.11 s, system: 0.02 s, elapsed: 0.13 s
2018-05-05 21:07:29.578 JST [132673] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:29.636 JST [132673] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:07:34.612 JST [132694] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:34.773 JST [132694] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.12 s, system: 0.02 s, elapsed: 0.15 s
2018-05-05 21:07:39.581 JST [132715] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:39.638 JST [132715] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:07:44.588 JST [132736] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:49.725 JST [132755] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:49.922 JST [132755] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.14 s, system: 0.03 s, elapsed: 0.18 s
2018-05-05 21:07:49.980 JST [132755] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:07:59.616 JST [132804] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:07:59.677 JST [132804] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 21:08:04.650 JST [132825] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:08:04.871 JST [132825] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.17 s, system: 0.03 s, elapsed: 0.20 s
2018-05-05 21:08:04.928 JST [132825] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:08:09.638 JST [132846] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:08:14.652 JST [132864] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:08:14.711 JST [132864] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 21:08:19.644 JST [132885] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 21:08:19.894 JST [132885] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.19 s, system: 0.04 s, elapsed: 0.23 s
