2018-05-03 02:41:38.455 JST [52974] LOG:  received fast shutdown request
2018-05-03 02:41:38.456 JST [52974] LOG:  aborting any active transactions
2018-05-03 02:41:38.457 JST [52974] LOG:  background worker "logical replication launcher" (PID 52983) exited with exit code 1
2018-05-03 02:41:38.457 JST [52978] LOG:  shutting down
2018-05-03 02:41:38.559 JST [52978] LOG:  checkpoint starting: shutdown immediate
2018-05-03 02:41:39.182 JST [52978] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.109 s, sync=0.000 s, total=0.724 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-03 02:41:39.406 JST [52974] LOG:  database system is shut down
2018-05-03 02:41:41.317 JST [53031] LOG:  database system was shut down at 2018-05-03 02:41:38 JST
2018-05-03 02:41:41.582 JST [53028] LOG:  database system is ready to accept connections
2018-05-03 02:41:51.708 JST [53118] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 02:41:51.972 JST [53118] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.06 s, system: 0.00 s, elapsed: 0.07 s
2018-05-03 02:41:52.022 JST [53118] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.03 s
2018-05-03 02:42:01.659 JST [53157] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 02:42:01.760 JST [53157] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.01 s, elapsed: 0.09 s
2018-05-03 02:42:01.813 JST [53157] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 02:42:06.739 JST [53178] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
