2018-05-03 03:19:47.918 JST [56543] LOG:  received fast shutdown request
2018-05-03 03:19:56.177 JST [56543] LOG:  aborting any active transactions
2018-05-03 03:19:56.177 JST [56607] FATAL:  terminating connection due to administrator command
2018-05-03 03:19:56.178 JST [56543] LOG:  background worker "logical replication launcher" (PID 56608) exited with exit code 1
2018-05-03 03:20:01.743 JST [56543] LOG:  background worker "walker" (PID 56607) exited with exit code 1
2018-05-03 03:20:01.743 JST [56602] LOG:  shutting down
2018-05-03 03:20:11.501 JST [56602] LOG:  checkpoint starting: shutdown immediate
2018-05-03 03:20:22.730 JST [56602] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.118 s, sync=0.000 s, total=20.986 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-03 03:20:23.058 JST [56543] LOG:  database system is shut down
2018-05-03 03:20:55.343 JST [56792] LOG:  database system was shut down at 2018-05-03 03:20:20 JST
2018-05-03 03:20:55.369 JST [56764] LOG:  database system is ready to accept connections
2018-05-03 03:20:55.383 JST [56798] LOG:  restored 25079 13285 1663
2018-05-03 03:20:55.386 JST [56798] LOG:  restored 25080 13285 1663
2018-05-03 03:20:55.389 JST [56798] LOG:  restored 25082 13285 1663
2018-05-03 03:20:55.834 JST [56798] LOG:  created new! cur 25081 13285 1663, gmaprel 25081 13285 1663
2018-05-03 03:23:55.756 JST [57586] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.06 s
2018-05-03 03:23:55.851 JST [57586] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.06 s, system: 0.00 s, elapsed: 0.06 s
2018-05-03 03:24:00.732 JST [57606] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:25:40.794 JST [58055] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:25:50.966 JST [58095] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.07 s
2018-05-03 03:25:55.939 JST [58115] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:27:35.980 JST [58528] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:27:56.023 JST [58609] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:28:06.085 JST [58687] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.01 s, elapsed: 0.08 s
2018-05-03 03:29:26.067 JST [59022] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:29:56.137 JST [59139] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:30:36.219 JST [59311] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.08 s, system: 0.01 s, elapsed: 0.09 s
2018-05-03 03:31:26.173 JST [59521] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:32:06.248 JST [59681] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:33:31.288 JST [60040] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:33:36.390 JST [60060] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.10 s
2018-05-03 03:34:21.368 JST [60261] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:35:41.400 JST [60595] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:36:46.591 JST [60870] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:37:11.682 JST [60970] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.10 s, system: 0.00 s, elapsed: 0.11 s
2018-05-03 03:38:01.719 JST [61175] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 03:39:16.906 JST [61488] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 03:40:21.937 JST [61759] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
