2018-05-03 04:50:32.992 JST [73460] LOG:  received fast shutdown request
2018-05-03 04:50:38.871 JST [73522] WARNING:  worker took too long to start; canceled
2018-05-03 04:50:43.882 JST [73522] WARNING:  worker took too long to start; canceled
2018-05-03 04:50:45.113 JST [73460] LOG:  aborting any active transactions
2018-05-03 04:50:45.114 JST [73460] LOG:  background worker "logical replication launcher" (PID 73524) exited with exit code 1
2018-05-03 04:50:45.127 JST [73519] LOG:  shutting down
2018-05-03 04:50:55.881 JST [73519] LOG:  checkpoint starting: shutdown immediate
2018-05-03 04:51:20.917 JST [73519] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.123 s, sync=0.000 s, total=35.790 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-03 04:51:27.466 JST [73460] LOG:  database system is shut down
2018-05-03 04:52:15.917 JST [73771] LOG:  database system was shut down at 2018-05-03 04:51:10 JST
2018-05-03 04:52:25.686 JST [73721] LOG:  database system is ready to accept connections
2018-05-03 05:04:32.167 JST [77017] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 05:04:32.278 JST [77017] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.05 s, system: 0.00 s, elapsed: 0.06 s
2018-05-03 05:04:32.351 JST [77017] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.03 s
2018-05-03 05:05:32.164 JST [77274] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-03 05:05:37.248 JST [77295] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-03 05:05:42.227 JST [77316] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.06 s, system: 0.00 s, elapsed: 0.07 s
