2018-05-05 15:33:34.804 JST [79771] LOG:  received fast shutdown request
2018-05-05 15:33:34.805 JST [79771] LOG:  aborting any active transactions
2018-05-05 15:33:34.805 JST [79779] FATAL:  terminating connection due to administrator command
2018-05-05 15:33:34.806 JST [79771] LOG:  background worker "logical replication launcher" (PID 79780) exited with exit code 1
2018-05-05 15:33:34.807 JST [79771] LOG:  background worker "walker" (PID 79779) exited with exit code 1
2018-05-05 15:33:34.808 JST [79774] LOG:  shutting down
2018-05-05 15:33:34.808 JST [79774] LOG:  checkpoint starting: shutdown immediate
2018-05-05 15:33:34.917 JST [79774] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.106 s, sync=0.000 s, total=0.109 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-05 15:33:35.203 JST [79771] LOG:  database system is shut down
2018-05-05 15:33:36.187 JST [79826] LOG:  database system was shut down at 2018-05-05 15:33:34 JST
2018-05-05 15:33:36.360 JST [79823] LOG:  database system is ready to accept connections
2018-05-05 15:33:36.362 JST [79832] LOG:  restored 25079 13285 1663
2018-05-05 15:33:36.365 JST [79832] LOG:  restored 25080 13285 1663
2018-05-05 15:33:36.369 JST [79832] LOG:  restored 25082 13285 1663
2018-05-05 15:33:36.755 JST [79832] LOG:  created new! cur 25081 13285 1663, gmaprel 25081 13285 1663
2018-05-05 15:34:01.468 JST [79981] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:34:01.550 JST [79981] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.06 s, system: 0.00 s, elapsed: 0.07 s
2018-05-05 15:34:01.600 JST [79981] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.03 s
2018-05-05 15:34:11.518 JST [80018] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:34:11.616 JST [80018] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.08 s
