2018-05-06 02:58:49.355 JST [7887] LOG:  received fast shutdown request
2018-05-06 02:58:49.359 JST [7887] LOG:  aborting any active transactions
2018-05-06 02:58:49.360 JST [7887] LOG:  background worker "logical replication launcher" (PID 7897) exited with exit code 1
2018-05-06 02:58:49.360 JST [7892] LOG:  shutting down
2018-05-06 02:58:49.449 JST [7892] LOG:  checkpoint starting: shutdown immediate
2018-05-06 02:58:49.733 JST [7892] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.106 s, sync=0.000 s, total=0.372 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
2018-05-06 02:58:50.033 JST [7887] LOG:  database system is shut down
2018-05-06 02:58:50.851 JST [7944] LOG:  database system was shut down at 2018-05-06 02:58:49 JST
2018-05-06 02:58:51.056 JST [7940] LOG:  database system is ready to accept connections
2018-05-06 02:59:01.177 JST [8030] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.05 s, system: 0.00 s, elapsed: 0.06 s
2018-05-06 02:59:06.120 JST [8051] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-06 02:59:11.149 JST [8072] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-06 02:59:16.119 JST [8101] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-06 02:59:16.209 JST [8101] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.07 s, system: 0.00 s, elapsed: 0.07 s
2018-05-06 02:59:21.171 JST [8122] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-06 02:59:26.131 JST [8143] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-06 02:59:26.240 JST [8143] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.08 s, system: 0.01 s, elapsed: 0.09 s
2018-05-06 02:59:31.134 JST [8164] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-06 02:59:31.196 JST [8164] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.05 s
2018-05-06 02:59:36.150 JST [8182] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-06 02:59:36.278 JST [8182] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.09 s, system: 0.01 s, elapsed: 0.11 s
2018-05-06 02:59:36.332 JST [8182] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-06 02:59:41.157 JST [8203] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-06 02:59:41.213 JST [8203] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-06 02:59:46.166 JST [8224] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
